2016-10-10 17:49:34	admin	http://localhost/	Error: 	Exception: Unknown Selector operator: '' -- was your selector value properly escaped?  (in C:\xampp\htdocs\wire\core\Selectors.php line 307)  #0 C:\xampp\htdocs\wire\core\Selectors.php(351): ProcessWire\Selectors->create('Home', '', '') #1 C:\xampp\htdocs\wire\core\Selectors.php(128): ProcessWire\Selectors->extractString('Home') #2 C:\xampp\htdocs\wire\core\Selectors.php(116): ProcessWire\Selectors->setSelectorString('Home') #3 C:\xampp\htdocs\wire\core\PagesLoader.php(188): ProcessWire\Selectors->init('Home') #4 C:\xampp\htdocs\wire\core\Pages.php(223): ProcessWire\PagesLoader->find('Home', Array) #5 [internal function]: ProcessWire\Pages->___find('Home', Array) #6 C:\xampp\htdocs\wire\core\Wire.php(348): call_user_func_array(Array, Array) #7 C:\xampp\htdocs\wire\core\WireHooks.php(548): ProcessWire\Wire->_callMethod('___find', Array) #8 C:\xampp\htdocs\wire\core\Wire.php(373): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pages), 'find', Array) #9 C:\xampp\htdocs\wire\core\PagesLoader.php(366): Process
2016-10-10 17:49:38	admin	http://localhost/	Error: 	Exception: Unknown Selector operator: '' -- was your selector value properly escaped?  (in C:\xampp\htdocs\wire\core\Selectors.php line 307)  #0 C:\xampp\htdocs\wire\core\Selectors.php(351): ProcessWire\Selectors->create('Home', '', '') #1 C:\xampp\htdocs\wire\core\Selectors.php(128): ProcessWire\Selectors->extractString('Home') #2 C:\xampp\htdocs\wire\core\Selectors.php(116): ProcessWire\Selectors->setSelectorString('Home') #3 C:\xampp\htdocs\wire\core\PagesLoader.php(188): ProcessWire\Selectors->init('Home') #4 C:\xampp\htdocs\wire\core\Pages.php(223): ProcessWire\PagesLoader->find('Home', Array) #5 [internal function]: ProcessWire\Pages->___find('Home', Array) #6 C:\xampp\htdocs\wire\core\Wire.php(348): call_user_func_array(Array, Array) #7 C:\xampp\htdocs\wire\core\WireHooks.php(548): ProcessWire\Wire->_callMethod('___find', Array) #8 C:\xampp\htdocs\wire\core\Wire.php(373): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pages), 'find', Array) #9 C:\xampp\htdocs\wire\core\PagesLoader.php(366): Process
2016-10-10 17:49:44	admin	http://localhost/	Error: 	Exception: Unknown Selector operator: '' -- was your selector value properly escaped?  (in C:\xampp\htdocs\wire\core\Selectors.php line 307)  #0 C:\xampp\htdocs\wire\core\Selectors.php(351): ProcessWire\Selectors->create('Home', '', '') #1 C:\xampp\htdocs\wire\core\Selectors.php(128): ProcessWire\Selectors->extractString('Home') #2 C:\xampp\htdocs\wire\core\Selectors.php(116): ProcessWire\Selectors->setSelectorString('Home') #3 C:\xampp\htdocs\wire\core\PagesLoader.php(188): ProcessWire\Selectors->init('Home') #4 C:\xampp\htdocs\wire\core\Pages.php(223): ProcessWire\PagesLoader->find('Home', Array) #5 [internal function]: ProcessWire\Pages->___find('Home', Array) #6 C:\xampp\htdocs\wire\core\Wire.php(348): call_user_func_array(Array, Array) #7 C:\xampp\htdocs\wire\core\WireHooks.php(548): ProcessWire\Wire->_callMethod('___find', Array) #8 C:\xampp\htdocs\wire\core\Wire.php(373): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pages), 'find', Array) #9 C:\xampp\htdocs\wire\core\PagesLoader.php(366): Process
2016-10-10 17:54:02	admin	http://localhost/	Parse Error: 	syntax error, unexpected '/' (line 4 of C:\xampp\htdocs\site\templates\_snipcart.php)
2016-10-10 17:54:10	admin	http://localhost/	Parse Error: 	syntax error, unexpected '/' (line 4 of C:\xampp\htdocs\site\templates\_snipcart.php)
2016-10-10 17:54:13	admin	http://localhost/	Parse Error: 	syntax error, unexpected '/' (line 4 of C:\xampp\htdocs\site\templates\_snipcart.php)
2016-10-10 17:54:24	admin	http://localhost/	Parse Error: 	syntax error, unexpected '/' (line 4 of C:\xampp\htdocs\site\templates\_snipcart.php)
2016-10-10 17:55:25	admin	http://localhost/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO), expecting ',' or ';' (line 6 of C:\xampp\htdocs\site\templates\_snipcart.php)
2016-10-10 18:14:07	admin	http://localhost/product-3/	Parse Error: 	syntax error, unexpected '.' (line 16 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\product.php)
2016-10-10 18:14:32	admin	http://localhost/product-3/	Parse Error: 	syntax error, unexpected '.' (line 16 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\product.php)
